label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
1	395 N	0.5021	Eriq	GOLF	740	1.0409	8	0.7909	225	Bioengineering	N/A	364	0.8175	524
0	1058 N	0.9167	Chris	running, ice hockey, volleyball, badminton	633	0.5096	1041	1.0831	837	Electrical Engineering	155	569	1.4524	1151
3	1482 N	0.9625	Andrew	tennis	-218	0.9231	218	0.2403	-25	Bioinformatics	359	-39	-0.085	961
2	790 N	1.0812	Michael	boxing	1404	0.4907	1325	1.0487	642	Technology and Information Management	70	782	0.4749	NULL
3	321 N	1.0412	Fabrice	soccer	204	1.3626	1335	0.0406	637	Computer Game Design	520	389	1.1538	895
0	1332 N	0.8581	Chris	motor sports, baseball	705	0.0698	367	1.117	642	Natural Language Processing	881	332	-0.2331	-140
0	863 N	0.2774	Sam	badminton, track & field, ice hockey, volleyball	-4	0.3562	745	0.9438	1075	Computer Engineering	1540	830	0.1254	811
3	1464 N	0.5924	Fabrice	SOCCER	728	0.7553	516	0.1884	521	cOMPUTER gAME dESIGN	-93	248	1.0462	816
2	178 N	1.1109	Inan	football	782	0.9014	1822	0.7734	419	Games and Playable Media	307	850	0.6692	557
0	930 N	0.3421	Vani	basketball	-274	0.6849	560	1.3586	1345	Statistics	1361	682	0.5252	-36
1	1065 N	N/A	ERIQ	basketball	617	0.1804	211	0.6887	-37	Bioengineering	1594	860	1.1774	-104
2	-253 N	1.0298	Inan	football	685	0.3515	592	1.8756	338	Computational Media	201	294	0.9338	999
1	1000 N	-0.2231	Eriq	motor sports	1151	0.411	-333	0.3421	635	Bioengineering	1513	666	0.3025	-390
0	778 N	0.8479	Chris	volleyball, badminton, track & field	978	0.4069	966	1.3003	916	Computer Engineering	1549	-142	0.6432	278
1	1192 N	0.9454	Eriq	basketball	183	0.2279	158	0.6929	352	Human Computer Interaction	968	730	1.2531	123
3	595 N	0.0944	Andrew	soccer	413	0.9241	795	0.5232	-18	Bioinformatics	-265	794	0.9254	1290
0	929 N	1.2218	Sam	track & field, running	-164	0.4751	1431	1.6312	1725	Robotics Engineering	625	N/A	0.2037	1197
1	1442 N	-0.1063	Lise	motor sports, basketball	608	0.4198	790	0.4659	762	Human Computer Interaction	1311	838	0.1137	79
3	847 N	0.5831	Andrew	tennis	509	0.8274	182	1.3018	471	Computer Game Design	107	674	0.9745	1012
2	-96 N	0.4837	Michael	boxing, golf	908	0.4256	1593	1.3376	409	Technology and Information Management	-154	329	1.4287	257
0	520 N	1.0845	Vani	golf	-25	0.7929	490	0.9688	635	Biotechnology	754	450	1.0984	1198
0	-515 N	1.3325	Sam	running, ice hockey, badminton, volleyball	369	0.7429	736	1.4215	701	Robotics Engineering	1325	403	0.7628	1367
3	-111 N	0.3016	Andrew	tennis	24	0.5764	1249	0.4152	193	Bioinformatics	165	1060	0.6708	1928
3	1114 N	0.2027	Fabrice	soccer	-302	1.0798	1142	0.2886	-170	Computer Game Design	454	1484	-0.1411	330
2	336 N	0.2782	Michael	badminton	1551	0.4439	932	0.6216	1187	Data Science	57	60	0.1204	663
1	765 N	-0.2852	eriq	baseball	580	-0.893	650	0.6344	479	Bioengineering	636	1207	1.2832	477
3	1268 N	0.7869	Fabrice	tennis	291	1.2686	433	-0.4621	-163	Computer Game Design	70	476	0.7673	632
0	851 N	0.2612	Vani	volleyball, track & field, ice hockey, running	-435	-0.1822	626	1.434	992	Biotechnology	762	-324	0.0071	1285
3	849 N	0.2357	Fabrice	tennis	309	0.577	1050	0.2082	-120	Bioinformatics	159	787	1.3285	846
1	179 N	0.176	Reilly	motor sports, baseball	975	0.6111	513	0.8817	1007	Applied Mathematics	1014	1379	1.3241	-53
3	712 N	1.3466	Tony	soccer	None	0.6091	297	0.1596	47	Bioinformatics	None	1331	1.2502	1678
1	971 N	0.0016	Reilly	motor sports	936	-0.1332	928	1.7303	0	Human Computer Interaction	624	445	0.0759	609
0	906 N	0.4828	cHRIS	football, golf	-174	0.1363	308	0.6351	1202	Computer Engineering	279	-127	0.9281	868
3	658 N	0.2632	Fabrice	tennis	1158	0.0897	1520	0.6227	783	Bioinformatics	41	1239	1.016	1791
0	1035 N	0.7353	Sam	motor sports	212	1.1055	323	0.777	626	Electrical Engineering	407	0	0.4975	1256
2	310 N	1.4378	Inan	boxing, football	1197	0.9531	366	1.0738	277	Computational Media	85	881	1.0791	742
1	1239 N	0.99	Lise	baseball, basketball	1207	0.6347	719	0.7989	108	Bioengineering	525	1374	1.2104	64
1	635 N	0.1006	Reilly	basketball	740	-0.0961	-202	1.1476	-62	Applied Mathematics	375	401	0.5831	-262
1	66 N	0.376	Reilly	baseball	374	0.685	548	1.0874	-149	Applied Mathematics	1341	805	1.3163	853
3	486 N	1.5107	N/A	tennis	534	0.9994	472	1.5557	-99	Bioinformatics	916	898	1.031	734
0	763 N	0.4776	Vani	running	376	0.1109	426	1.488	1198	Biotechnology	546	-188	0.1036	1471
1	701 N	0.2884	Eriq	basketball, baseball	540	0.0532	-32	0.1406	725	Applied Mathematics	1784	1207	0.5309	-370
1	940 N	0.3469	Eriq	motor sports, baseball	702	0.5725	612	0.934	702	Human Computer Interaction	749	943	0.9076	-352
2	-375 N	0.626	Reilly	golf	1163	0.6222	1049	0.7402	941	Games and Playable Media	-332	533	0.2403	1272
1	1014 N	0.176	Reilly	baseball	421	0.0073	115	0.3533	295	Applied Mathematics	679	-9	1.2342	448
2	135 N	1.3129	Inan	FOOTBALL	1094	1.0393	1761	0.5574	347	Games and Playable Media	395	692	0.5368	958
3	1014 N	-0.0027	Fabrice	soccer	310	0.5472	652	1.0143	858	Bioinformatics	557	1114	1.0307	513
2	-75 N	1.372	Inan	boxing	1304	0.3778	1415	0.479	92	Computer Science	395	1210	1.0261	959
2	533 N	-0.1028	Michael	boxing, football	912	0.8996	349	1.0292	325	Games and Playable Media	119	1393	1.0328	-41
3	1173 N	?	Andrew	SOCCER	-85	0.5706	487	0.4095	362	Computer Game Design	385	670	1.0095	120
2	-311 N	0.301	Michael	BOXING, FOOTBALL	1551	-0.4958	862	0.9056	-124	Computational Media	113	680	0.5755	443
3	207 N	-0.1582	Andrew	SOCCER	386	0.3271	224	None	488	Bioinformatics	-77	1041	1.324	821
3	1460 N	0.7329	Fabrice	soccer	367	0.3587	2021	NULL	-552	Bioinformatics	797	354	-0.8109	1617
1	394 N	0.2719	Lise	baseball, basketball	338	0.0711	234	0.6539	447	Bioengineering	500	800	1.83	244
2	379 N	1.2944	Inan	golf	457	1.1788	1050	1.3619	372	Games and Playable Media	290	1072	0.5629	348
3	1217 N	1.19	Andrew	tennis	1016	0.6752	580	0.3692	-3	Bioinformatics	667	949	1.3853	1248
1	1007 N	0.3264	Tony	baseball	16	0.1978	298	1.0287		Bioengineering	428	443	0.2212	-453
3	1990 N	1.2203	Tony	tennis	471	0.5929	501	-0.0649	22	COMPUTER GAME DESIGN	-168	706	1.487	1365
3	852 N	0.817	fABRICE	tennis	29	0.9144	1068	0.3587	338	Bioinformatics	685	1294	-0.1855	1407
3	1361 N	1.513	Fabrice	tennis	768	0.6302	366	0.546	897	Computer Game Design	-20	1168	2.0278	1491
3	36 N	1.0656	Andrew	soccer	891	0.6973	1110	0.6368	443	Bioinformatics	281	829	1.2006	493
0	568 N	0.7221	Chris	volleyball, running, ice hockey	355	1.1754	1446	0.4261	1182	Electrical Engineering	807	321	0.5205	731
1	1758 N	0.2307	Eriq	basketball	502	0.4884	243	0.2969	102	Bioengineering	328	1112	0.7831	785
0	1477 N	0.8784	Chris	volleyball	199	0.4073	637	1.6264	1168	rOBOTICS eNGINEERING	965	491	-0.082	974
0	1715 N	1.0964	Vani	running, badminton, track & field, volleyball	-731	0.5422	752	0.4029	1189	Computer Engineering	531	1038	0.475	837
0	401 N	0.8642	Chris	badminton, volleyball, track & field, running	-408	0.1931	1416	1.0987	268	Biotechnology	1588	-295	0.5589	1056
0	499 N	1.8688	Vani	tennis	29	-0.2049	1290	0.8784	763	Natural Language Processing	240	119	0.1145	1002
3	1018 N	1.0738	Andrew	soccer	643	0.9776	514	0.2036	186	Bioinformatics	567	991	1.026	1197
1	962 N	0.3908	Reilly	track & field, ice hockey	203	-0.2676	350	1.2931	-56	Bioengineering	564	725	0.4553	593
2	804 N	0.6827	Michael	football	454	0.4957	1301	1.145	855	Data Science	723	743	0.3946	952
1	700 N	0.5607	Eriq	motor sports	423	0.0141	313	0.5129	841	Bioengineering	596	123	1.2395	1309
0	1300 N	0.7993	Vani	volleyball, badminton	-66	0.0943	629	0.5449	1989	Robotics Engineering	732	277	0.2378	631
0	1052 N	0.9735	Chris	golf	-277	1.1849	747	1.1093	1464	Biotechnology	656	500	0.8265	1433
1	1035 N	-0.23	Tony	baseball	731	-0.5078	-565	0.8796	1237	Applied Mathematics	986	859	1.2153	537
2	736 N	0.842	Michael	football	1064	0.346	1218	0.4691	1231	Computer Science	389	991	0.7974	636
3	338 N	0.0787	Andrew	tennis	559	0.4322	?	0.6185	287	Bioinformatics	939	1168	1.0675	654
2	429 N	1.2523	Michael	boxing	870	0.3509	788	2.1223	613	Computer Science	490	453	1.3814	830
0	1512 N	0.8991	Sam	ice hockey, volleyball, badminton	442	0.0898	908	1.2204	?	Statistics	N/A	123	1.0704	576
1	962 N	0.418	Eriq	track & field, running, badminton, volleyball	1010	0.5668	-581	0.7482	-203	Human Computer Interaction	1255	227	0.2874	691
2	1067 N	0.7911	Inan	golf	936	0.7019	1366	0.9977	425	COMPUTER SCIENCE	-93	923	0.286	131
3	645 N	1.2336	Fabrice	boxing	131	0.2701	744	0.0098	759	Bioinformatics	165	1148	1.3304	1177
0	1858 N	0.7101	Vani	volleyball, track & field	-530	0.7852	347	0.8396	1055	Robotics Engineering	614	298	0.7534	863
0	1314 N	1.0076	Chris	baseball, basketball	-223	0.4546	821	1.3482	1314	Statistics	1041	624	0.4796	1271
1	829 N	0.3361	Fabrice	baseball	826	0.2869	502	0.5226	653	Bioengineering	956	1082	0.5237	1129
1	1875 N	0.2473	Eriq	motor sports, basketball	-588	0.1888	1342	0.3362	50	Applied Mathematics	1014	697	1.6821	176
2	492 N	1.9783	Chris	football	748	0.4393	727	1.124	-35	Human Computer Interaction	502	239	0.8832	1099
3	1140 N	0.1043	Fabrice	soccer	419	0.26	1515	1.1588	363	Computer Game Design	842	199	0.8107	128
0	1650 N	0.8861	Sam	badminton, running, track & field, volleyball	583	0.6604	112	1.1025	1108	Statistics	241	548	0.0311	1453
1	425 N	0.4356	Andrew	basketball	597	0.4131	94	0.3027	1097	Applied Mathematics	1061	746	0.8462	-111
2	371 N	1.0236	Michael	football	1285	0.6171	1192	0.7993	864	Computational Media	-354	418	0.4356	440
3	356 N	0.3478	Andrew	football	317	0.1489	390	0.3793	24	Bioinformatics	272	676	1.3893	1563
3	1158 N	0.123	Fabrice	boxing, football	-36	-0.0271	724	0.0237	-264	Bioinformatics	1272	312	1.2964	1324
1	561 N	0.4298	Reilly	motor sports	416	0.5712	216	0.086	732	Bioengineering	508	570	0.7344	147
1	942 N	0.5214	Eriq	motor sports	-384	0.9406	-162	1.0562	-447	Applied Mathematics	83	690	1.8314	368
0	814 N	0.774	Vani	volleyball	-40	0.3273	1652	0.5304	621	Electrical Engineering	516	0	0.3935	2045
3	779 N	0.3566	Fabrice	soccer	460	0.8454	1364	0.621	356	Computer Game Design	898	1169	0.918	259
3	922 N	0.9865	Andrew	soccer	945	2.1481	562	0.737	67	Bioinformatics	22	804	0.7234	1452
2	747 N	1.1241	Michael	football	1118	0.9054	1501	1.2121	952	Data Science	-66	879	0.9647	1451
0	-392 N	0.9561	Vani	volleyball	-622	-0.0372	622	n/a	1062	Robotics Engineering	716	-18	0.2124	618
2	747 N	1.0606	Inan	golf, boxing	721	0.4228	1034	0.5726	599	Data Science	-58	1083	0.8109	683
1	1026 N	-0.1634	Reilly	basketball, baseball	719	-0.3434	157	0.5356	-291	Applied Mathematics	874	1424	2.0399	201
2	204 N	1.5956	Michael	boxing, golf	1019	0.3583	1533	0.7203	?	Computer Science	-780	528	0.6909	709
3	758 N	0.9439	aNDREW	Soccer	778	0.6431	572	0.7005	627	Bioinformatics	400	1164	0.726	1252
2	296 N	1.1872	Chris	golf	1321	0.3924	259	2.1804	747	Computational Media	47	786	0.2348	1407
2	898 N	0.2992	Inan	football, boxing	1248	0.4195	1100	0.9974	719	Data Science	593	714	1.2169	785
1	1358 N		Reilly	baseball	1007	0.128	-112	0.7464	1298	Applied Mathematics	951	588	2.0093	23
0	528 N	1.4144	Reilly	ice hockey	119	-0.3385	665	1.2353	1628	Biotechnology	813	683	0.0597	1272
2	-520 N	1.1636	Michael	football, boxing	725	0.4367	1055	0.8695	376	Computational Media	209	437	0.8811	831
1	283 N	0.0424	Eriq	basketball	1269	-0.0267	42	1.1446	743	Applied Mathematics	1266	1121	1.103	674
1	1156 N	0.5171	Lise	boxing, golf	638	0.542	870	0.8795	509	Applied Mathematics	797	1001	0.152	821
3	338 N	0.3789	Andrew	tennis	600	1.0618	1159	-0.2489	-136	Human Computer Interaction	n/a	410	1.4101	1000
3	306 N	-0.2125	Andrew	tennis	51	0.7814	855	0.2845	847	Computer Game Design	597	825	0.8204	810
3	1419 N	0.8385	Andrew	tennis	733	0.0192	903	0.7829	310	Computer Game Design	116	755	0.9822	820
3	1015 N	1.3687	Andrew	tennis	-238	0.6512	1235	-0.32	-671	Computer Game Design	422	1027	1.1492	-136
0	981 N	0.6363	Inan	running, volleyball	52	0.0178	919	1.5925	1505	?	259	304	0.2266	427
1	949 N	0.2376	Reilly	motor sports, basketball	309	0.3102	-386	-0.2902	199	Applied Mathematics	850	898	1.1476	-63
3	836 N	-0.0168	Andrew	tennis	-251	0.2118	364	?	-350	Computer Game Design	869	1038	1.0744	1373
2	731 N	1.5843	Inan	boxing	530	0.6415	987	1.0982	1048	Games and Playable Media	785	878	0.6693	1029
1	1408 N	0.2005	Tony	basketball	1091	0.788	458	0.8383	424	Human Computer Interaction	709	433	0.7247	504
3	792 N	0.8122	Fabrice	soccer	121	1.2999	495	0.3883	694	Computer Game Design	370	529	0.9779	771
0	1323 N	0.5542	Chris	track & field, volleyball, running, badminton	268	-0.0433	1198	1.5628	1594	statistics	1227	667	-0.1177	793
1	515 N	-0.4283	Eriq	baseball, motor sports	1067	0.4616	667	0.945	166	Human Computer Interaction	367	1259	1.1563	236
3	1356 N	-0.2565	Fabrice	soccer	347	0.7687	829	0.9699	269	Computer Game Design	66	853	1.1283	998
2	-258 N	1.4497	Inan	golf	1446	0.6588	1068	1.1232	1075	Computer Science	-369	415	0.7251	750
2	1323 N	0.7925	Michael	basketball, motor sports	1433	0.6911	865	1.3284	1193	Computational Media	-47	409	0.4857	1329
3	1990 N	0.5616	Andrew	tennis	383	1.3762	1892	0.4019	539	Computer Game Design	717	794	0.7339	-15
2	292 N	1.0832	Michael	None	1490	0.2364	899	1.0824	800	Data Science	16	530	0.5441	-151
1	1050 N	0.5009	Eriq	basketball, motor sports	755	-0.0838	-70	0.4548	333	Applied Mathematics	1395	1478	0.8398	806
1	1151 N	-0.0255	Reilly	motor sports	326	0.1549	-544	0.1241	N/A	Bioengineering	1333	1375	0.636	237
2	612 N	1.7365	Michael	golf, boxing	1332	-0.1935	723	0.8941	1120	Games and Playable Media	-762	671	0.0307	1748
3	542 N	1.056	Fabrice	soccer	827	0.8495	976	-0.1213	3	Computer Game Design	805	787	1.337	1321
2	252 N	-0.1762	Inan	football, boxing	1095	0.42	335	-0.451	267	Computer Science	405	513	0.7416	1077
0	898 N	1.2614	Vani	badminton, volleyball, running	-148	0.8737	1009	0.5282	1050	Robotics Engineering	527	1280	0.7366	605
1	855 N	0.2336	Lise	motor sports, baseball	786	-0.2885	888	1.4078	83	Bioengineering	846	674	1.0255	141
0	1689 N	1.4764	Sam	badminton, ice hockey	-2	0.3972	575	NULL	762	Biotechnology	1148	534	0.5051	748
2	-144 N	0.9136	Michael	boxing	1303	0.7362	399	0.5116	842	Games and Playable Media	117	914	0.8067	20
2	-29 N	0.1926	Inan	football	779	0.6176	748	0.521	970	Technology and Information Management	893	967	-0.459	1138
1	346 N	1.042	Reilly	basketball	538	-0.0579	0	0.5974	n/a	Bioengineering	764	294	0.8948	700
3	159 N	-0.0407	Andrew	soccer	-140	0.8841	929	1.0368	524	Computer Game Design	590	728	0.9118	1198
